category,word_one,word_two,word_three,word_four
antonym,میشە,خۆش,تەما,کەله کەڵک
antonym,میشە,خۆش,خۆش,ناراحە
antonym,میشە,خۆش,رەحەمان,کەس
antonym,میشە,خۆش,زۆر,کەم
antonym,میشە,خۆش,سەرسام,بەرز
antonym,میشە,خۆش,سەرەش,پەیاو
antonym,میشە,خۆش,میشە,خۆش
antonym,میشە,خۆش,نوێ,کەهنە
antonym,میشە,خۆش,نەرم,کۆم
antonym,میشە,خۆش,پاک,نەپاک
antonym,میشە,خۆش,پێویست,نەپێویست
antonym,میشە,خۆش,چاو,ڕەنگ
antonym,میشە,خۆش,کوتاه,بەرز
antonym,نوێ,کەهنە,بیدار,خەواب
antonym,نوێ,کەهنە,تەما,کەله کەڵک
antonym,نوێ,کەهنە,خۆش,ناراحە
antonym,نوێ,کەهنە,رەحەمان,کەس
antonym,نوێ,کەهنە,زۆر,کەم
antonym,نوێ,کەهنە,سەرسام,بەرز
antonym,نوێ,کەهنە,سەرەش,پەیاو
antonym,نوێ,کەهنە,میشە,خۆش
antonym,نوێ,کەهنە,نوێ,کەهنە
antonym,نوێ,کەهنە,نەرم,کۆم
antonym,نوێ,کەهنە,پاک,نەپاک
antonym,نوێ,کەهنە,پێویست,نەپێویست
antonym,نوێ,کەهنە,چاو,ڕەنگ
antonym,نوێ,کەهنە,کوتاه,بەرز
antonym,نەرم,کۆم,بیدار,خەواب
antonym,نەرم,کۆم,تەما,کەله کەڵک
antonym,نەرم,کۆم,خۆش,ناراحە
antonym,نەرم,کۆم,رەحەمان,کەس
antonym,نەرم,کۆم,زۆر,کەم
antonym,نەرم,کۆم,سەرسام,بەرز
antonym,نەرم,کۆم,سەرەش,پەیاو
antonym,نەرم,کۆم,میشە,خۆش
antonym,نەرم,کۆم,نوێ,کەهنە
antonym,نەرم,کۆم,نەرم,کۆم
antonym,نەرم,کۆم,پاک,نەپاک
antonym,نەرم,کۆم,پاک,پێشین
antonym,نەرم,کۆم,پێویست,نەپێویست
antonym,نەرم,کۆم,چاو,ڕەنگ
antonym,نەرم,کۆم,کوتاه,بەرز
antonym,پاک,نەپاک,بیدار,خەواب
antonym,پاک,نەپاک,تەما,کەله کەڵک
antonym,پاک,نەپاک,خۆش,ناراحە
antonym,پاک,نەپاک,رەحەمان,کەس
antonym,پاک,نەپاک,زۆر,کەم
antonym,پاک,نەپاک,سەرسام,بەرز
antonym,پاک,نەپاک,سەرەش,پەیاو
antonym,پاک,نەپاک,لەباز,کەڵک
antonym,پاک,نەپاک,میشە,خۆش
antonym,پاک,نەپاک,نوێ,کەهنە
antonym,پاک,نەپاک,نیک,سەی 
antonym,پاک,نەپاک,نەرم,کۆم
antonym,پاک,نەپاک,پاک,نەپاک
antonym,پاک,نەپاک,پێویست,نەپێویست
antonym,پاک,نەپاک,چاو,ڕەنگ
antonym,پاک,نەپاک,کوتاه,بەرز
antonym,پێویست,نەپێویست,بیدار,خەواب
antonym,پێویست,نەپێویست,تەما,کەله کەڵک
antonym,پێویست,نەپێویست,خۆش,ناراحە
antonym,پێویست,نەپێویست,رەحەمان,کەس
antonym,پێویست,نەپێویست,زۆر,کەم
antonym,پێویست,نەپێویست,سەرسام,بەرز
antonym,پێویست,نەپێویست,سەرەش,پەیاو
antonym,پێویست,نەپێویست,لەخۆ,دانە
antonym,پێویست,نەپێویست,میشە,خۆش
antonym,پێویست,نەپێویست,نوێ,کەهنە
antonym,پێویست,نەپێویست,نەرم,کۆم
antonym,پێویست,نەپێویست,پاک,نەپاک
antonym,پێویست,نەپێویست,پێویست,نەپێویست
antonym,پێویست,نەپێویست,چاو,ڕەنگ
antonym,پێویست,نەپێویست,کوتاه,بەرز
antonym,چاو,ڕەنگ,بیدار,خەواب
antonym,چاو,ڕەنگ,بەرز,پایین
antonym,چاو,ڕەنگ,تەما,کەله کەڵک
antonym,چاو,ڕەنگ,خۆش,ناراحە
antonym,چاو,ڕەنگ,رەحەمان,کەس
antonym,چاو,ڕەنگ,زۆر,کەم
antonym,چاو,ڕەنگ,سەرسام,بەرز
antonym,چاو,ڕەنگ,سەرەش,پەیاو
antonym,چاو,ڕەنگ,میشە,خۆش
antonym,چاو,ڕەنگ,نوێ,کەهنە
antonym,چاو,ڕەنگ,نەرم,کۆم
antonym,چاو,ڕەنگ,پاک,نەپاک
antonym,چاو,ڕەنگ,پێویست,نەپێویست
antonym,چاو,ڕەنگ,چاو,ڕەنگ
antonym,چاو,ڕەنگ,کوتاه,بەرز
antonym,کوتاه,بەرز,بیدار,خەواب
antonym,کوتاه,بەرز,بەشتەی,زەوی
antonym,کوتاه,بەرز,تەما,کەله کەڵک
antonym,کوتاه,بەرز,خۆش,ناراحە
antonym,کوتاه,بەرز,رەحەمان,کەس
antonym,کوتاه,بەرز,زۆر,کەم
antonym,کوتاه,بەرز,سەرسام,بەرز
antonym,کوتاه,بەرز,سەرەش,پەیاو
antonym,کوتاه,بەرز,میشە,خۆش
antonym,کوتاه,بەرز,نوێ,کەهنە
antonym,کوتاه,بەرز,نەرم,کۆم
antonym,کوتاه,بەرز,پاک,نەپاک
antonym,کوتاه,بەرز,پێویست,نەپێویست
antonym,کوتاه,بەرز,چاو,ڕەنگ
antonym,کوتاه,بەرز,کوتاه,بەرز
capital-common-countries,بەغدا,عێراق,ئاسلو,نەرویژ
capital-common-countries,بەغدا,عێراق,ئافلەن,سوریە
capital-common-countries,بەغدا,عێراق,ئاڵماټا,قازاقستان
capital-common-countries,بەغدا,عێراق,ئسڵۆ,سویدن
capital-common-countries,بەغدا,عێراق,ئیرکۆتسک,ڕووسیا
capital-common-countries,بەغدا,عێراق,ئیسلاماباد,پاکستان
capital-common-countries,بەغدا,عێراق,ئەربیل,عێراق
capital-common-countries,بەغدا,عێراق,ئەسڵۆ,نەرویژ
capital-common-countries,بەغدا,عێراق,ئەمستێردام,هۆڵەندا
capital-common-countries,بەغدا,عێراق,ئەمپێر,ئەمریکا
capital-common-countries,بەغدا,عێراق,ئەنقەرە,تورکیا
capital-common-countries,بەغدا,عێراق,ئەنگلاند,شانشینی بەریتانیا
capital-common-countries,بەغدا,عێراق,ئەڤین,فەرەنسا
capital-common-countries,بەغدا,عێراق,بارچیلۆنا,ئیسپانیا
capital-common-countries,بەغدا,عێراق,باغوی,ئورۆگوای
capital-common-countries,بەغدا,عێراق,بەخرەین,بەخرەین
capital-common-countries,بەغدا,عێراق,بەرلین,ئالمان
capital-common-countries,بەغدا,عێراق,بەرن,سوئیس
capital-common-countries,بەغدا,عێراق,بەروت,لوبنان
capital-common-countries,بەغدا,عێراق,بەشکێک,ڕومانیا
capital-common-countries,بەغدا,عێراق,بەغدا,عێراق
capital-common-countries,بەغدا,عێراق,بەیروت,لوبنان
capital-common-countries,بەغدا,عێراق,تاران,ئێران
capital-common-countries,بەغدا,عێراق,توکیۆ,ژاپۆن
capital-common-countries,بەغدا,عێراق,تۆرۆنتۆ,کانەدا
capital-common-countries,بەغدا,عێراق,دووبەی,ئەڵإمارات
capital-common-countries,بەغدا,عێراق,دۆحە,قەتەر
capital-common-countries,بەغدا,عێراق,رۆما,ئیتالیا
capital-common-countries,بەغدا,عێراق,ریاض,سەعوودیا
capital-common-countries,بەغدا,عێراق,سیئیل,شیلی
capital-common-countries,بەغدا,عێراق,قاهیرە,میسر
capital-common-countries,بەغدا,عێراق,مادرید,ئیسپانیا
capital-common-countries,بەغدا,عێراق,ماڵێ,مالت
capital-common-countries,بەغدا,عێراق,مۆسکو,ڕووسیا
capital-common-countries,بەغدا,عێراق,مەسکە,عمان
capital-common-countries,بەغدا,عێراق,نەپالی,کاتماندو
capital-common-countries,بەغدا,عێراق,پیکینگ,چین
capital-common-countries,بەغدا,عێراق,پەرت,ئوسترالیا
capital-common-countries,بەغدا,عێراق,پەریس,فەرەنسا
capital-common-countries,بەغدا,عێراق,کابل,ئەفغانستان
capital-common-countries,بەغدا,عێراق,کانبرا,ئوسترالیا
capital-common-countries,بەغدا,عێراق,کانبێرا,ئوسترالیا
capital-common-countries,بەغدا,عێراق,کراکس,ڤەنزوێلا
capital-common-countries,بەغدا,عێراق,کوالاڵەمپۇر,مالیزیا
capital-common-countries,بەغدا,عێراق,کۆبنهاگ,دانمارک
capital-common-countries,بەغدا,عێراق,کەیرو,میسر
capital-common-countries,بەغدا,عێراق,ۆاشینگتۆن,ئەمەریکا
gender,بووک,زاوا,بووک,زاوا
gender,بووک,زاوا,خوشک,برا
gender,بووک,زاوا,خوشکەزەن,برازەن
gender,بووک,زاوا,دایک,باوک
gender,بووک,زاوا,شاعەرە,شاعر
gender,بووک,زاوا,شهبانو,شاه
gender,بووک,زاوا,ملکه,پادشا
gender,بووک,زاوا,پرنسە,پرنس
gender,بووک,زاوا,ژن,پیاو
gender,بووک,زاوا,کچ,کور
gender,خوشک,برا,بووک,زاوا
gender,خوشک,برا,خوشک,برا
gender,خوشک,برا,دایک,باوک
gender,خوشک,برا,شاعەرە,شاعر
gender,خوشک,برا,شهبانو,شاه
gender,خوشک,برا,ملکه,پادشا
gender,خوشک,برا,پرنسە,پرنس
gender,خوشک,برا,ژن,پیاو
gender,خوشک,برا,کچ,کور
gender,دایک,باوک,بووک,زاوا
gender,دایک,باوک,خوشک,برا
gender,دایک,باوک,دایک,باوک
gender,دایک,باوک,شاعەرە,شاعر
gender,دایک,باوک,شهبانو,شاه
gender,دایک,باوک,ملکه,پادشا
gender,دایک,باوک,پرنسە,پرنس
gender,دایک,باوک,ژن,پیاو
gender,دایک,باوک,کچ,کور
gender,شاعەرە,شاعر,بووک,زاوا
gender,شاعەرە,شاعر,خوشک,برا
gender,شاعەرە,شاعر,دایک,باوک
gender,شاعەرە,شاعر,شاعەرە,شاعر
gender,شاعەرە,شاعر,شهبانو,شاه
gender,شاعەرە,شاعر,ملکه,پادشا
gender,شاعەرە,شاعر,پرنسە,پرنس
gender,شاعەرە,شاعر,ژن,شۆ
gender,شاعەرە,شاعر,ژن,پیاو
gender,شاعەرە,شاعر,کچ,کور
gender,شهبانو,شاه,بووک,زاوا
gender,شهبانو,شاه,خوشک,برا
gender,شهبانو,شاه,دایک,باوک
gender,شهبانو,شاه,شاعەرە,شاعر
gender,شهبانو,شاه,شهبانو,شاه
gender,شهبانو,شاه,ملکه,پادشا
gender,شهبانو,شاه,پرنسە,پرنس
gender,شهبانو,شاه,ژن,پیاو
gender,شهبانو,شاه,کچ,کور
gender,ملکه,پادشا,بووک,زاوا
gender,ملکه,پادشا,خوشک,برا
gender,ملکه,پادشا,دایک,باوک
gender,ملکه,پادشا,شاعەرە,شاعر
gender,ملکه,پادشا,شهبانو,شاه
gender,ملکه,پادشا,ملکه,پادشا
gender,ملکه,پادشا,پرنسە,پرنس
gender,ملکه,پادشا,ژن,پیاو
gender,ملکه,پادشا,کچ,کور
gender,پرنسە,پرنس,بووک,زاوا
gender,پرنسە,پرنس,خوشک,برا
gender,پرنسە,پرنس,دایک,باوک
gender,پرنسە,پرنس,دایکزەن,باوکزەن
gender,پرنسە,پرنس,شاعەرە,شاعر
gender,پرنسە,پرنس,شهبانو,شاه
gender,پرنسە,پرنس,ملکه,پادشا
gender,پرنسە,پرنس,پرنسە,پرنس
gender,پرنسە,پرنس,ژن,پیاو
gender,پرنسە,پرنس,کچ,کور
gender,ژن,پیاو,بووک,زاوا
gender,ژن,پیاو,خوشک,برا
gender,ژن,پیاو,دایک,باوک
gender,ژن,پیاو,شاعەرە,شاعر
gender,ژن,پیاو,شهبانو,شاه
gender,ژن,پیاو,ملکه,پادشا
gender,ژن,پیاو,پرنسە,پرنس
gender,ژن,پیاو,ژن,پیاو
gender,ژن,پیاو,کچ,کور
gender,کچ,کور,بووک,زاوا
gender,کچ,کور,خوشک,برا
gender,کچ,کور,دایک,باوک
gender,کچ,کور,شاعەرە,شاعر
gender,کچ,کور,شهبانو,شاه
gender,کچ,کور,ملکه,پادشا
gender,کچ,کور,پرنسە,پرنس
gender,کچ,کور,ژن,پیاو
gender,کچ,کور,کچ,کور
part-whole,ئەسپە,بەر,برگ,دار
part-whole,ئەسپە,بەر,دانە,بووکان
part-whole,ئەسپە,بەر,دەرگایە,کلیلە
part-whole,ئەسپە,بەر,شاخە,دار
part-whole,ئەسپە,بەر,لێو,دەست
part-whole,ئەسپە,بەر,موو,مەزنەوە
part-whole,ئەسپە,بەر,پایە,میز
part-whole,ئەسپە,بەر,پەلە,خانه‌،
part-whole,ئەسپە,بەر,پەنجەره,خانوو
part-whole,ئەسپە,بەر,پەیگە,زەنگ
part-whole,ئەسپە,بەر,چاو,بەر
part-whole,ئەسپە,بەر,چاو,بەر،گوش
part-whole,ئەسپە,بەر,چرخ,ماشین
part-whole,ئەسپە,بەر,چەرخە,دووچرخه
part-whole,ئەسپە,بەر,ڕوونیە,نوێزۆریە
part-whole,ئەسپە,بەر,کلیل,پیانۆ
part-whole,ئەسپە,بەر,گل,بووکان
part-whole,ئەسپە,بەر,گوڵ,بووکان
part-whole,برگ,دار,ئەسپە,بەر
part-whole,برگ,دار,برگ,دار
part-whole,برگ,دار,دانە,بووکان
part-whole,برگ,دار,دەرگایە,کلیلە
part-whole,برگ,دار,شاخە,دار
part-whole,برگ,دار,لووت,وچو
part-whole,برگ,دار,لێو,دەست
part-whole,برگ,دار,موو,مەزنەوە
part-whole,برگ,دار,پایە,میز
part-whole,برگ,دار,پەلە,خانه‌،
part-whole,برگ,دار,پەنجەره,خانوو
part-whole,برگ,دار,چاو,بەر
part-whole,برگ,دار,چاو,بەر،گوش
part-whole,برگ,دار,چرخ,ماشین
part-whole,برگ,دار,چەرخە,دووچرخه
part-whole,برگ,دار,ڕوونیە,نوێزۆریە
part-whole,برگ,دار,کلیل,پیانۆ
part-whole,برگ,دار,گل,بووکان
part-whole,برگ,دار,گوڵ,بووکان
part-whole,دانە,بووکان,ئەسپە,بەر
part-whole,دانە,بووکان,برگ,دار
part-whole,دانە,بووکان,دەرگایە,کلیلە
part-whole,دانە,بووکان,شاخە,دار
part-whole,دانە,بووکان,لێو,دەست
part-whole,دانە,بووکان,موو,مەزنەوە
part-whole,دانە,بووکان,پایە,میز
part-whole,دانە,بووکان,پەلە,خانه‌،
part-whole,دانە,بووکان,پەنجە,پێ
part-whole,دانە,بووکان,پەنجەره,خانوو
part-whole,دانە,بووکان,چاو,بەر
part-whole,دانە,بووکان,چاو,بەر،گوش
part-whole,دانە,بووکان,چرخ,ماشین
part-whole,دانە,بووکان,چەرخە,دووچرخه
part-whole,دانە,بووکان,ڕوونیە,نوێزۆریە
part-whole,دانە,بووکان,کلیل,پیانۆ
part-whole,دانە,بووکان,گل,بووکان
part-whole,دانە,بووکان,گوڵ,بووکان
part-whole,دەرگایە,کلیلە,ئەسپە,بەر
part-whole,دەرگایە,کلیلە,برگ,دار
part-whole,دەرگایە,کلیلە,دانە,بووکان
part-whole,دەرگایە,کلیلە,رەجە,دەرگا
part-whole,دەرگایە,کلیلە,شاخە,دار
part-whole,دەرگایە,کلیلە,لێو,دەست
part-whole,دەرگایە,کلیلە,موو,مەزنەوە
part-whole,دەرگایە,کلیلە,پایە,میز
part-whole,دەرگایە,کلیلە,پەلە,خانه‌،
part-whole,دەرگایە,کلیلە,پەنجەره,خانوو
part-whole,دەرگایە,کلیلە,چاو,بەر
part-whole,دەرگایە,کلیلە,چاو,بەر،گوش
part-whole,دەرگایە,کلیلە,چرخ,ماشین
part-whole,دەرگایە,کلیلە,چەرخە,دووچرخه
part-whole,دەرگایە,کلیلە,ڕوونیە,نوێزۆریە
part-whole,دەرگایە,کلیلە,کلیل,پیانۆ
part-whole,دەرگایە,کلیلە,گل,بووکان
part-whole,دەرگایە,کلیلە,گوڵ,بووکان
part-whole,شاخە,دار,ئەسپە,بەر
part-whole,شاخە,دار,برگ,دار
part-whole,شاخە,دار,دانە,بووکان
part-whole,شاخە,دار,دەرگایە,کلیلە
part-whole,شاخە,دار,ریشە,دار
part-whole,شاخە,دار,شاخە,دار
part-whole,شاخە,دار,لێو,دەست
part-whole,شاخە,دار,موو,مەزنەوە
part-whole,شاخە,دار,پایە,میز
part-whole,شاخە,دار,پەلە,خانه‌،
part-whole,شاخە,دار,پەنجەره,خانوو
part-whole,شاخە,دار,چاو,بەر
part-whole,شاخە,دار,چاو,بەر،گوش
part-whole,شاخە,دار,چرخ,ماشین
part-whole,شاخە,دار,چەرخە,دووچرخه
part-whole,شاخە,دار,ڕوونیە,نوێزۆریە
part-whole,شاخە,دار,کلیل,پیانۆ
part-whole,شاخە,دار,گل,بووکان
part-whole,شاخە,دار,گوڵ,بووکان
part-whole,لێو,دەست,ئەسپە,بەر
part-whole,لێو,دەست,برگ,دار
part-whole,لێو,دەست,دانە,بووکان
part-whole,لێو,دەست,دەرگایە,کلیلە
part-whole,لێو,دەست,شاخە,دار
part-whole,لێو,دەست,لێوە,دەستە
part-whole,لێو,دەست,موو,مەزنەوە
part-whole,لێو,دەست,پایە,میز
part-whole,لێو,دەست,پەلە,خانه‌،
part-whole,لێو,دەست,پەنجەره,خانوو
part-whole,لێو,دەست,چاو,بەر
part-whole,لێو,دەست,چاو,بەر،گوش
part-whole,لێو,دەست,چرخ,ماشین
part-whole,لێو,دەست,چەرخە,دووچرخه
part-whole,لێو,دەست,ڕوونیە,نوێزۆریە
part-whole,لێو,دەست,کلیل,پیانۆ
part-whole,لێو,دەست,گل,بووکان
part-whole,لێو,دەست,گوڵ,بووکان
part-whole,موو,مەزنەوە,ئەسپە,بەر
part-whole,موو,مەزنەوە,برگ,دار
part-whole,موو,مەزنەوە,دانە,بووکان
part-whole,موو,مەزنەوە,دەرگایە,کلیلە
part-whole,موو,مەزنەوە,شاخە,دار
part-whole,موو,مەزنەوە,لێو,دەست
part-whole,موو,مەزنەوە,پایە,میز
part-whole,موو,مەزنەوە,پەلە,خانه‌،
part-whole,موو,مەزنەوە,پەنجەره,خانوو
part-whole,موو,مەزنەوە,چاو,بەر
part-whole,موو,مەزنەوە,چاو,بەر،گوش
part-whole,موو,مەزنەوە,چاو,گور
part-whole,موو,مەزنەوە,چرخ,ماشین
part-whole,موو,مەزنەوە,چەرخە,دووچرخه
part-whole,موو,مەزنەوە,ڕوونیە,نوێزۆریە
part-whole,موو,مەزنەوە,کلیل,پیانۆ
part-whole,موو,مەزنەوە,گل,بووکان
part-whole,موو,مەزنەوە,گوڵ,بووکان
part-whole,پایە,میز,ئەسپە,بەر
part-whole,پایە,میز,برگ,دار
part-whole,پایە,میز,دانە,بووکان
part-whole,پایە,میز,دەرگایە,کلیلە
part-whole,پایە,میز,شاخە,دار
part-whole,پایە,میز,لێو,دەست
part-whole,پایە,میز,موو,مەزنەوە
part-whole,پایە,میز,پەلە,خانه‌،
part-whole,پایە,میز,پەنجەره,خانوو
part-whole,پایە,میز,چاخە,تختە
part-whole,پایە,میز,چاو,بەر
part-whole,پایە,میز,چاو,بەر،گوش
part-whole,پایە,میز,چرخ,ماشین
part-whole,پایە,میز,چەرخە,دووچرخه
part-whole,پایە,میز,ڕوونیە,نوێزۆریە
part-whole,پایە,میز,کلیل,پیانۆ
part-whole,پایە,میز,گل,بووکان
part-whole,پایە,میز,گوڵ,بووکان
part-whole,پەلە,خانه‌،,ئەسپە,بەر
part-whole,پەلە,خانه‌،,برگ,دار
part-whole,پەلە,خانه‌،,دانە,بووکان
part-whole,پەلە,خانه‌،,دەرگایە,کلیلە
part-whole,پەلە,خانه‌،,شاخە,دار
part-whole,پەلە,خانه‌،,لێو,دەست
part-whole,پەلە,خانه‌،,موو,مەزنەوە
part-whole,پەلە,خانه‌،,پایە,میز
part-whole,پەلە,خانه‌،,پەنجەره,خانوو
part-whole,پەلە,خانه‌،,چاو,بەر
part-whole,پەلە,خانه‌،,چاو,بەر،گوش
part-whole,پەلە,خانه‌،,چرخ,ماشین
part-whole,پەلە,خانه‌،,چەرخە,دووچرخه
part-whole,پەلە,خانه‌،,ڕوونیە,نوێزۆریە
part-whole,پەلە,خانه‌،,کلیل,پیانۆ
part-whole,پەلە,خانه‌،,گل,بووکان
part-whole,پەلە,خانه‌،,گوڵ,بووکان
part-whole,پەنجەره,خانوو,ئەسپە,بەر
part-whole,پەنجەره,خانوو,برگ,دار
part-whole,پەنجەره,خانوو,دانە,بووکان
part-whole,پەنجەره,خانوو,دەرگایە,کلیلە
part-whole,پەنجەره,خانوو,دەم,بەر
part-whole,پەنجەره,خانوو,شاخە,دار
part-whole,پەنجەره,خانوو,لێو,دەست
part-whole,پەنجەره,خانوو,موو,مەزنەوە
part-whole,پەنجەره,خانوو,پایە,میز
part-whole,پەنجەره,خانوو,پەلە,خانه‌،
part-whole,پەنجەره,خانوو,چاو,بەر
part-whole,پەنجەره,خانوو,چاو,بەر،گوش
part-whole,پەنجەره,خانوو,چرخ,ماشین
part-whole,پەنجەره,خانوو,چەرخە,دووچرخه
part-whole,پەنجەره,خانوو,ڕوونیە,نوێزۆریە
part-whole,پەنجەره,خانوو,کلیل,پیانۆ
part-whole,پەنجەره,خانوو,گل,بووکان
part-whole,پەنجەره,خانوو,گوڵ,بووکان
part-whole,چاو,بەر,ئەسپە,بەر
part-whole,چاو,بەر,برگ,دار
part-whole,چاو,بەر,دانە,بووکان
part-whole,چاو,بەر,دەرگایە,کلیلە
part-whole,چاو,بەر,شاخە,دار
part-whole,چاو,بەر,لێو,دەست
part-whole,چاو,بەر,موو,مەزنەوە
part-whole,چاو,بەر,پایە,میز
part-whole,چاو,بەر,پەلە,خانه‌،
part-whole,چاو,بەر,پەنجەره,خانوو
part-whole,چاو,بەر,چاو,بەر،گوش
part-whole,چاو,بەر,چرخ,ماشین
part-whole,چاو,بەر,چەرخە,دووچرخه
part-whole,چاو,بەر,ڕوونیە,نوێزۆریە
part-whole,چاو,بەر,کلیل,پیانۆ
part-whole,چاو,بەر,گل,بووکان
part-whole,چاو,بەر,گوش,سر
part-whole,چاو,بەر,گوڵ,بووکان
part-whole,چاو,بەر،گوش,ئەسپە,بەر
part-whole,چاو,بەر،گوش,برگ,دار
part-whole,چاو,بەر،گوش,دانە,بووکان
